               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11465,            0.030677,            0.054998,             0.18893,            0.060339,            0.037487,           0.0066849,            0.098204,            0.033228,            0.039847,             0.00075,             0.00075,             0.09325
                   1,            0.091807,             0.02912,            0.040049,             0.79036,             0.10111,            0.095479,            0.026674,            0.091344,            0.022591,            0.030894,           0.0015063,           0.0015063,            0.086406
                   2,            0.083722,            0.024624,            0.029685,             0.89392,            0.044684,            0.028667,            0.004155,             0.10093,            0.019613,            0.022441,           0.0022477,           0.0022477,            0.079548
                   3,            0.089966,            0.022023,            0.020998,             0.88353,             0.20806,             0.19709,             0.06975,            0.087779,            0.019256,            0.017251,           0.0029633,           0.0029633,            0.072663
                   4,             0.08108,            0.021135,            0.016675,             0.91307,               0.197,             0.18957,            0.046672,            0.089858,            0.019116,            0.014814,           0.0036426,           0.0036426,            0.065743
                   5,            0.089295,            0.017773,            0.013944,             0.61834,             0.06621,            0.043245,           0.0070817,            0.096965,            0.016507,            0.013097,           0.0042757,           0.0042757,            0.058776
                   6,             0.08836,             0.01746,            0.011729,             0.79451,             0.21005,             0.26451,            0.057632,            0.086862,            0.016632,            0.012481,           0.0048536,           0.0048536,            0.051754
                   7,            0.086773,            0.017069,            0.010888,             0.88082,             0.20907,             0.26464,            0.079767,            0.079736,            0.017807,           0.0097948,           0.0053684,           0.0053684,            0.044668
                   8,            0.083022,            0.015955,           0.0095554,             0.38758,              0.2624,             0.16252,            0.033657,            0.082427,            0.016445,           0.0089018,           0.0058131,           0.0058131,            0.037513
                   9,            0.081402,            0.015762,           0.0097809,               0.448,             0.34543,             0.19528,            0.035516,            0.083786,            0.016121,           0.0080365,           0.0061821,           0.0061821,            0.030282
                  10,            0.080188,            0.015431,           0.0086255,             0.42766,             0.34973,             0.22205,            0.043797,            0.077619,            0.016314,           0.0077833,           0.0064713,           0.0064713,            0.022971
                  11,            0.072982,            0.016494,            0.008932,             0.90234,             0.22634,             0.29183,             0.10692,            0.067971,            0.016582,            0.014655,           0.0066779,           0.0066779,            0.015578
                  12,             0.07685,            0.014398,           0.0083358,              0.6405,             0.44593,             0.38199,             0.16043,            0.065536,            0.017133,           0.0073295,            0.006801,            0.006801,            0.008101
                  13,            0.075483,            0.014644,            0.008486,             0.55673,             0.31653,             0.26033,            0.047413,            0.082715,            0.015661,           0.0073305,           0.0064356,           0.0064356,           0.0064356
                  14,            0.070678,            0.015414,           0.0083805,             0.59622,             0.46702,             0.34619,            0.097446,            0.071957,             0.01567,           0.0063666,           0.0064356,           0.0064356,           0.0064356
                  15,            0.071122,            0.014641,           0.0075241,              0.8009,             0.23385,              0.3055,             0.12796,            0.071196,            0.014857,           0.0078513,           0.0059704,           0.0059704,           0.0059704
                  16,            0.063224,            0.014758,           0.0073768,             0.68595,             0.51457,             0.40023,              0.1627,            0.060113,            0.016669,           0.0056117,              0.0055,              0.0055,              0.0055
                  17,            0.062653,            0.014436,            0.006587,              0.6487,             0.52194,               0.433,             0.12377,            0.061269,            0.015801,           0.0052801,           0.0050296,           0.0050296,           0.0050296
                  18,            0.056498,             0.01492,           0.0066569,             0.85566,              0.4059,             0.44073,              0.1184,            0.056175,            0.015731,           0.0049129,           0.0045644,           0.0045644,           0.0045644
                  19,            0.054019,            0.014007,           0.0059203,             0.65704,             0.51873,              0.4387,              0.1576,             0.05791,            0.015417,           0.0055685,           0.0041094,           0.0041094,           0.0041094
                  20,            0.048801,             0.01389,           0.0060314,             0.71933,             0.50066,             0.48086,             0.18178,            0.048506,            0.015094,           0.0072343,           0.0036697,           0.0036697,           0.0036697
                  21,            0.047351,             0.01351,           0.0051246,             0.73857,             0.54138,             0.45636,             0.17109,            0.049048,            0.014509,           0.0045672,             0.00325,             0.00325,             0.00325
                  22,             0.04449,            0.013574,           0.0055174,             0.73571,             0.51989,              0.5181,             0.19997,            0.042347,             0.01496,           0.0045603,            0.002855,            0.002855,            0.002855
                  23,            0.041556,            0.013201,           0.0046691,             0.78941,              0.5847,             0.55307,             0.24912,            0.038801,            0.013913,            0.004921,           0.0024889,           0.0024889,           0.0024889
                  24,            0.037957,            0.012553,           0.0048699,             0.84598,             0.63061,             0.59862,              0.3072,            0.035923,            0.013736,           0.0043785,           0.0021558,           0.0021558,           0.0021558
                  25,            0.034956,            0.012176,           0.0044862,             0.87041,             0.62907,             0.60014,             0.29628,            0.034605,            0.013793,           0.0038699,           0.0018594,           0.0018594,           0.0018594
                  26,            0.033413,            0.012099,           0.0041287,             0.85943,             0.60643,             0.62443,             0.32533,            0.034774,            0.013534,           0.0036081,           0.0016029,           0.0016029,           0.0016029
                  27,            0.034488,            0.012225,           0.0037638,             0.85587,             0.63535,             0.65322,             0.31078,              0.0326,            0.013455,           0.0035911,            0.001389,            0.001389,            0.001389
                  28,            0.033242,            0.011697,            0.004106,             0.85533,             0.61466,             0.66398,             0.33027,             0.03196,            0.013372,           0.0033633,           0.0012202,           0.0012202,           0.0012202
                  29,            0.031756,            0.011649,           0.0045839,             0.85245,             0.60654,             0.63457,             0.33713,            0.030984,            0.013154,           0.0032631,           0.0010983,           0.0010983,           0.0010983
